
------ lr: 0.001000, batch_size: 32, img_size: 96, time: 11/02/22-18:12:04 ------
Epoch 01: Accuracy: 35.921 (31.265, 34.914), Loss: (0.335, 0.324), Time: 18:15:15
Epoch 02: Accuracy: 37.700 (42.070, 37.800), Loss: (0.297, 0.317), Time: 18:18:27
Epoch 03: Accuracy: 41.107 (47.470, 40.993), Loss: (0.274, 0.305), Time: 18:21:36
Epoch 04: Accuracy: 41.336 (51.475, 41.386), Loss: (0.258, 0.311), Time: 18:24:45
Epoch 05: Accuracy: 43.750 (56.525, 43.557), Loss: (0.242, 0.310), Time: 18:27:54

------ lr: 0.001000, batch_size: 32, img_size: 96, time: 11/02/22-18:34:51 ------
Epoch 01: Accuracy: 35.771 (30.910, 35.693), Loss: (0.337, 0.325), Time: 18:37:59
Epoch 02: Accuracy: 38.857 (41.545, 38.393), Loss: (0.298, 0.321), Time: 18:41:07
Epoch 03: Accuracy: 41.714 (47.830, 41.271), Loss: (0.276, 0.316), Time: 18:44:15
Epoch 04: Accuracy: 42.007 (52.245, 41.050), Loss: (0.258, 0.312), Time: 18:47:23
Epoch 05: Accuracy: 42.086 (56.280, 41.743), Loss: (0.241, 0.312), Time: 18:50:31
Epoch 06: Accuracy: 43.907 (60.380, 43.871), Loss: (0.225, 0.313), Time: 18:53:40
Epoch 07: Accuracy: 44.343 (64.100, 44.536), Loss: (0.209, 0.315), Time: 18:56:50
Epoch 08: Accuracy: 43.379 (68.745, 43.443), Loss: (0.192, 0.348), Time: 18:59:58
Epoch 09: Accuracy: 43.300 (73.210, 42.586), Loss: (0.175, 0.353), Time: 19:03:06
Epoch 10: Accuracy: 43.864 (78.125, 43.264), Loss: (0.156, 0.422), Time: 19:06:15
Epoch 11: Accuracy: 44.250 (82.180, 43.957), Loss: (0.138, 0.447), Time: 19:09:24
Epoch 12: Accuracy: 42.750 (85.415, 43.407), Loss: (0.124, 0.441), Time: 19:12:32
Epoch 13: Accuracy: 43.864 (88.015, 43.450), Loss: (0.110, 0.526), Time: 19:15:42
Epoch 14: Accuracy: 43.150 (90.770, 43.629), Loss: (0.097, 0.599), Time: 19:18:49
Epoch 15: Accuracy: 42.650 (92.345, 43.507), Loss: (0.088, 0.559), Time: 19:21:59
Epoch 16: Accuracy: 42.764 (93.750, 43.186), Loss: (0.079, 0.597), Time: 19:25:07
Epoch 17: Accuracy: 43.364 (94.800, 43.357), Loss: (0.073, 0.617), Time: 19:28:15
Epoch 18: Accuracy: 42.607 (95.815, 42.021), Loss: (0.065, 0.584), Time: 19:31:23
Epoch 19: Accuracy: 42.629 (96.540, 42.643), Loss: (0.061, 0.667), Time: 19:34:31
Epoch 20: Accuracy: 42.029 (97.125, 41.757), Loss: (0.056, 0.644), Time: 19:37:39
Epoch 21: Accuracy: 41.721 (97.410, 41.829), Loss: (0.052, 0.685), Time: 19:40:47
Epoch 22: Accuracy: 43.543 (97.740, 43.271), Loss: (0.048, 0.683), Time: 19:43:55
Epoch 23: Accuracy: 41.971 (98.245, 41.700), Loss: (0.046, 0.753), Time: 19:47:02
Epoch 24: Accuracy: 43.243 (98.250, 42.764), Loss: (0.043, 0.820), Time: 19:50:11
Epoch 25: Accuracy: 43.079 (98.475, 42.736), Loss: (0.041, 0.827), Time: 19:53:18
Epoch 26: Accuracy: 42.636 (98.610, 42.300), Loss: (0.039, 0.781), Time: 19:56:26
Epoch 27: Accuracy: 42.143 (98.705, 42.393), Loss: (0.037, 0.811), Time: 19:59:33
Epoch 28: Accuracy: 42.314 (98.890, 42.121), Loss: (0.035, 0.845), Time: 20:02:41
Epoch 29: Accuracy: 42.364 (99.015, 42.464), Loss: (0.033, 0.808), Time: 21:46:44
Epoch 30: Accuracy: 42.357 (99.060, 42.114), Loss: (0.031, 1.079), Time: 21:49:51
