
------ lr: 0.001000, batch_size: 32, img_size: 96, time: 11/02/22-18:12:30 ------
Epoch 01: Accuracy: 37.221 (30.570, 36.907), Loss: (0.337, 0.318), Time: 18:15:39
Epoch 02: Accuracy: 39.921 (41.530, 40.007), Loss: (0.296, 0.307), Time: 18:18:53

------ lr: 0.001000, batch_size: 32, img_size: 96, time: 11/02/22-18:35:08 ------
Epoch 01: Accuracy: 34.714 (30.340, 35.464), Loss: (0.339, 0.327), Time: 18:38:15
Epoch 02: Accuracy: 38.279 (42.040, 38.100), Loss: (0.297, 0.318), Time: 18:41:26
Epoch 03: Accuracy: 40.879 (48.065, 40.807), Loss: (0.274, 0.311), Time: 18:44:38
Epoch 04: Accuracy: 42.993 (52.605, 42.357), Loss: (0.256, 0.317), Time: 18:47:49
Epoch 05: Accuracy: 43.457 (56.645, 43.100), Loss: (0.240, 0.321), Time: 18:51:01
Epoch 06: Accuracy: 43.143 (61.220, 42.821), Loss: (0.222, 0.324), Time: 18:54:13
Epoch 07: Accuracy: 43.064 (65.360, 43.207), Loss: (0.206, 0.323), Time: 18:57:24
Epoch 08: Accuracy: 43.543 (69.340, 44.100), Loss: (0.188, 0.346), Time: 19:00:37
Epoch 09: Accuracy: 43.757 (74.520, 44.643), Loss: (0.169, 0.418), Time: 19:03:54
Epoch 10: Accuracy: 44.007 (78.420, 44.329), Loss: (0.153, 0.369), Time: 19:07:06
Epoch 11: Accuracy: 43.150 (82.945, 43.386), Loss: (0.135, 0.463), Time: 19:10:17
Epoch 12: Accuracy: 43.857 (86.030, 43.707), Loss: (0.120, 0.469), Time: 19:13:35
Epoch 13: Accuracy: 42.343 (88.930, 43.564), Loss: (0.106, 0.542), Time: 19:16:46
Epoch 14: Accuracy: 41.900 (91.120, 42.714), Loss: (0.094, 0.501), Time: 19:20:00
Epoch 15: Accuracy: 43.264 (92.760, 43.707), Loss: (0.085, 0.594), Time: 19:23:11
Epoch 16: Accuracy: 42.871 (94.220, 42.979), Loss: (0.076, 0.643), Time: 19:26:24
Epoch 17: Accuracy: 43.371 (95.385, 43.707), Loss: (0.069, 0.639), Time: 19:29:36
Epoch 18: Accuracy: 42.371 (95.810, 43.029), Loss: (0.064, 0.659), Time: 19:32:47
Epoch 19: Accuracy: 42.250 (96.670, 42.464), Loss: (0.058, 0.670), Time: 19:35:58
Epoch 20: Accuracy: 43.336 (97.145, 43.714), Loss: (0.055, 0.686), Time: 19:39:09
Epoch 21: Accuracy: 41.336 (97.705, 41.857), Loss: (0.049, 0.649), Time: 19:42:20
Epoch 22: Accuracy: 42.400 (97.765, 42.500), Loss: (0.048, 0.659), Time: 19:45:31
Epoch 23: Accuracy: 41.771 (98.120, 41.971), Loss: (0.044, 0.671), Time: 19:48:46
Epoch 24: Accuracy: 42.100 (98.340, 43.114), Loss: (0.042, 0.789), Time: 19:51:57
Epoch 25: Accuracy: 42.114 (98.570, 42.450), Loss: (0.040, 0.730), Time: 19:55:08
Epoch 26: Accuracy: 42.379 (98.640, 42.721), Loss: (0.038, 0.784), Time: 19:58:19
Epoch 27: Accuracy: 41.964 (98.770, 42.857), Loss: (0.036, 0.723), Time: 20:01:31
Epoch 28: Accuracy: 42.400 (98.940, 42.443), Loss: (0.034, 0.790), Time: 20:04:42
